"Year","Flow_Scenario","Max_Flow","Flow_Threshold","Max_Flow_Test","Flow_Start","Max_Date","PP_Fail_Date","Threshold_Temp","Threshold_Dates","Overlap_Start","Overlap_Test"
1930,"Alt.1a",9900,17500,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.1a",9900,17500,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1b",24600,17500,1,"06-07","06-14","06-22",16,1930-06-08,"06-08",1
1930,"Alt.1b",24600,17500,1,"06-07","06-14","06-22",20,1930-06-28,"12-31",0
1930,"Alt.1b",24600,17500,1,"06-07","06-14","06-22",18,1930-06-17,"06-17",1
1930,"Alt.1b",24600,17500,1,"06-07","06-14","06-22",17,1930-06-12,"06-12",1
1930,"Alt.2",9900,17500,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2",9900,17500,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2",9900,17500,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2",9900,17500,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2a",9900,17500,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2a",9900,17500,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2a",9900,17500,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2a",9900,17500,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2b",28800,17500,1,"06-04","06-14","06-27",16,1930-06-08,"06-08",1
1930,"Alt.2b",28800,17500,1,"06-04","06-14","06-27",20,1930-06-28,"12-31",0
1930,"Alt.2b",28800,17500,1,"06-04","06-14","06-27",18,1930-06-17,"06-17",1
1930,"Alt.2b",28800,17500,1,"06-04","06-14","06-27",17,1930-06-12,"06-12",1
1930,"No.Act",9900,18000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"No.Act",9900,18000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"No.Act",9900,18000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"No.Act",9900,18000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt1",9900,18000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt1",9900,18000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt1",9900,18000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt1",9900,18000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1a",9900,18000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.1a",9900,18000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.1a",9900,18000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.1a",9900,18000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.1b",24600,18000,1,"06-08","06-14","06-22",16,1930-06-08,"06-08",1
1930,"Alt.1b",24600,18000,1,"06-08","06-14","06-22",20,1930-06-28,"12-31",0
1930,"Alt.1b",24600,18000,1,"06-08","06-14","06-22",18,1930-06-17,"06-17",1
1930,"Alt.1b",24600,18000,1,"06-08","06-14","06-22",17,1930-06-12,"06-12",1
1930,"Alt.2",9900,18000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2",9900,18000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2",9900,18000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2",9900,18000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2a",9900,18000,0,"07-31","07-31","07-31",16,1930-06-08,"12-31",0
1930,"Alt.2a",9900,18000,0,"07-31","07-31","07-31",20,1930-06-28,"12-31",0
1930,"Alt.2a",9900,18000,0,"07-31","07-31","07-31",18,1930-06-17,"12-31",0
1930,"Alt.2a",9900,18000,0,"07-31","07-31","07-31",17,1930-06-12,"12-31",0
1930,"Alt.2b",28800,18000,1,"06-04","06-14","06-26",16,1930-06-08,"06-08",1
1930,"Alt.2b",28800,18000,1,"06-04","06-14","06-26",20,1930-06-28,"12-31",0
1930,"Alt.2b",28800,18000,1,"06-04","06-14","06-26",18,1930-06-17,"06-17",1
1930,"Alt.2b",28800,18000,1,"06-04","06-14","06-26",17,1930-06-12,"06-12",1
1931,"No.Act",8000,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"No.Act",8000,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"No.Act",8000,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"No.Act",8000,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt1",8000,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt1",8000,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt1",8000,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt1",8000,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1a",8000,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1a",8000,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1a",8000,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1a",8000,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1b",7900,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1b",7900,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1b",7900,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1b",7900,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2",8000,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2",8000,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2",8000,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2",8000,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2a",8000,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2a",8000,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2a",8000,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2a",8000,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"No.Act",8000,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"No.Act",8000,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"No.Act",8000,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"No.Act",8000,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt1",8000,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt1",8000,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt1",8000,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt1",8000,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1a",8000,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1a",8000,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1a",8000,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1a",8000,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1b",7900,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1b",7900,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1b",7900,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1b",7900,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2",8000,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2",8000,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2",8000,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2",8000,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2a",8000,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2a",8000,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2a",8000,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2a",8000,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"No.Act",8000,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"No.Act",8000,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"No.Act",8000,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"No.Act",8000,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt1",8000,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt1",8000,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt1",8000,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt1",8000,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1a",8000,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1a",8000,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1a",8000,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1a",8000,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.1b",7900,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.1b",7900,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.1b",7900,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.1b",7900,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2",8000,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2",8000,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2",8000,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2",8000,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2a",8000,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2a",8000,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2a",8000,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2a",8000,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1931,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",17,1931-06-20,"12-31",0
1931,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",16,1931-06-15,"12-31",0
1931,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",20,1931-07-09,"12-31",0
1931,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",18,1931-06-26,"12-31",0
1932,"No.Act",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"No.Act",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"No.Act",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"No.Act",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt1",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt1",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt1",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt1",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1a",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1a",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1a",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1a",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1b",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1b",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1b",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1b",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2a",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2a",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2a",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2a",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2b",8000,17000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2b",8000,17000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2b",8000,17000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2b",8000,17000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"No.Act",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"No.Act",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"No.Act",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"No.Act",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt1",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt1",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt1",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt1",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1a",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1a",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1a",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1a",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1b",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1b",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1b",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1b",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2a",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2a",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2a",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2a",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2b",8000,17500,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2b",8000,17500,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2b",8000,17500,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2b",8000,17500,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"No.Act",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"No.Act",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"No.Act",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"No.Act",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt1",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt1",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt1",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt1",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1a",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1a",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1a",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1a",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.1b",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.1b",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.1b",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.1b",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2a",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2a",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2a",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2a",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1932,"Alt.2b",8000,18000,0,"06-09","06-09","06-09",18,1932-06-25,"12-31",0
1932,"Alt.2b",8000,18000,0,"06-09","06-09","06-09",17,1932-06-19,"12-31",0
1932,"Alt.2b",8000,18000,0,"06-09","06-09","06-09",16,1932-06-14,"12-31",0
1932,"Alt.2b",8000,18000,0,"06-09","06-09","06-09",20,1932-07-08,"12-31",0
1933,"No.Act",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"No.Act",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"No.Act",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"No.Act",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt1",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt1",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt1",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt1",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.1a",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.1a",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.1a",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.1a",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.1b",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.1b",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.1b",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.1b",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.2",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.2",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.2",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.2",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.2a",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.2a",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.2a",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.2a",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.2b",7700,17000,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.2b",7700,17000,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.2b",7700,17000,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.2b",7700,17000,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"No.Act",7700,17500,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"No.Act",7700,17500,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"No.Act",7700,17500,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"No.Act",7700,17500,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt1",7700,17500,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt1",7700,17500,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt1",7700,17500,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt1",7700,17500,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
1933,"Alt.1a",7700,17500,0,"07-31","07-31","07-31",20,1933-07-09,"12-31",0
1933,"Alt.1a",7700,17500,0,"07-31","07-31","07-31",16,1933-06-15,"12-31",0
1933,"Alt.1a",7700,17500,0,"07-31","07-31","07-31",18,1933-06-26,"12-31",0
1933,"Alt.1a",7700,17500,0,"07-31","07-31","07-31",17,1933-06-20,"12-31",0
