"Year","Flow_Scenario","Max_Flow","Flow_Threshold","Max_Flow_Test","Flow_Start","Max_Date","PP_Fail_Date","Threshold_Temp","Weather_Pattern","Threshold_Dates","Overlap_Start","Overlap_Test"
1932,"Alt.2b",8000,17500,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"No.Act",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt1",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1a",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.1b",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2a",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1932,"Alt.2b",8000,18000,0,"06-09","06-09","06-09",16,"Low","06-25","12-31",0
1933,"No.Act",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt1",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1a",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1b",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2a",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2b",7700,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"No.Act",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt1",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1a",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1b",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2a",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2b",7700,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"No.Act",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt1",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1a",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.1b",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2a",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1933,"Alt.2b",7700,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"No.Act",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt1",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1a",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1b",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2a",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2b",11200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"No.Act",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt1",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1a",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1b",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2a",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2b",11200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"No.Act",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt1",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1a",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.1b",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2a",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1934,"Alt.2b",11200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1935,"No.Act",7500,17000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt1",7500,17000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1a",7500,17000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1b",7000,17000,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1935,"Alt.2",7500,17000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2a",7500,17000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2b",7000,17000,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1935,"No.Act",7500,17500,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt1",7500,17500,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1a",7500,17500,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1b",7000,17500,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1935,"Alt.2",7500,17500,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2a",7500,17500,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2b",7000,17500,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1935,"No.Act",7500,18000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt1",7500,18000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1a",7500,18000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.1b",7000,18000,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1935,"Alt.2",7500,18000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2a",7500,18000,0,"06-13","06-13","06-13",16,"Low","06-25","12-31",0
1935,"Alt.2b",7000,18000,0,"07-10","07-10","07-10",16,"Low","06-25","12-31",0
1936,"No.Act",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt1",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"No.Act",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt1",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"No.Act",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt1",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.1b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1936,"Alt.2b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"No.Act",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt1",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"No.Act",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt1",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"No.Act",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt1",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.1b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1937,"Alt.2b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1938,"No.Act",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt1",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1a",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1b",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2a",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2b",7000,17000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"No.Act",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt1",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1a",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1b",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2a",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2b",7000,17500,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"No.Act",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt1",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1a",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.1b",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2a",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1938,"Alt.2b",7000,18000,0,"07-29","07-29","07-29",16,"Low","06-25","12-31",0
1939,"No.Act",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt1",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1a",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1b",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2a",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2b",7000,17000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"No.Act",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt1",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1a",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1b",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2a",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2b",7000,17500,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"No.Act",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt1",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1a",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.1b",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2a",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1939,"Alt.2b",7000,18000,0,"07-28","07-28","07-28",16,"Low","06-25","12-31",0
1940,"No.Act",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt1",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"No.Act",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt1",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"No.Act",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt1",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.1b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1940,"Alt.2b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"No.Act",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt1",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2a",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2b",7000,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"No.Act",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt1",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2a",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2b",7000,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"No.Act",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt1",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.1b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2a",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1941,"Alt.2b",7000,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"No.Act",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt1",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1a",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1b",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2a",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2b",7500,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"No.Act",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt1",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1a",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1b",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2a",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2b",7500,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"No.Act",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt1",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1a",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.1b",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2a",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1942,"Alt.2b",7500,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"No.Act",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt1",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1a",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1b",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2a",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2b",6200,17000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"No.Act",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt1",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1a",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1b",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2a",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.2b",6200,17500,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"No.Act",6200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt1",6200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1a",6200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
1943,"Alt.1b",6200,18000,0,"07-31","07-31","07-31",16,"Low","06-25","12-31",0
