"Year","Flow_Scenario","Standard","Weather_Pattern","Hatch_Date","Retention","Develop_Mod","Drift_Mod","anoxic_layer","Long_Term_Growth_Rate"
1987,"2b",1987-06-18,"High",1987-06-25,0.744780284127331,"New",0.9,FALSE,0.959387934482858
1994,"1b",1994-06-15,"Median",1994-06-22,0.369865286133273,"New",0.9,FALSE,0.942701892800666
1997,"1",1997-06-25,"High",1997-07-02,0.926029980468566,"New",0.9,FALSE,0.964915650776523
1997,"1a",1997-06-25,"High",1997-07-02,0.926092256305868,"New",0.9,FALSE,0.964917384940947
1997,"1b",1997-06-30,"High",1997-07-07,0.988297061414559,"New",0.9,FALSE,0.966602067970891
1997,"2",1997-06-25,"High",1997-07-02,0.933414633520504,"New",0.9,FALSE,0.965120599911763
1997,"2a",1997-06-30,"High",1997-07-07,0.988297061414559,"New",0.9,FALSE,0.966602067970891
1997,"2b",1997-06-25,"High",1997-07-02,0.926028239935191,"New",0.9,FALSE,0.964915602307325
1997,"NoAct",1997-06-25,"High",1997-07-02,0.925967584185768,"New",0.9,FALSE,0.964913913158685
2000,"1",2000-06-14,"Median",2000-06-21,0.639833784458608,"New",0.9,FALSE,0.95563430047006
2000,"1b",2000-06-16,"Median",2000-06-23,0.995985577016135,"New",0.9,FALSE,0.966804000010119
2000,"2b",2000-06-14,"Median",2000-06-21,0.00499039396310663,"New",0.9,FALSE,0.860674387284614
2011,"1",2011-06-25,"Low",2011-07-02,0.000346750086537048,"New",0.9,FALSE,0.818506655438815
2011,"1a",2011-06-25,"Low",2011-07-02,0.000336366502451487,"New",0.9,FALSE,0.81804790963185
2011,"1b",2011-06-25,"Low",2011-07-02,0.000317789001845333,"New",0.9,FALSE,0.817191811944381
2011,"2",2011-06-25,"Low",2011-07-02,0.000318001875785415,"New",0.9,FALSE,0.817201893609118
2011,"2a",2011-06-25,"Low",2011-07-02,0.000345796588896005,"New",0.9,FALSE,0.818465088951355
2011,"2b",2011-06-25,"Low",2011-07-02,0.000329447845164108,"New",0.9,FALSE,0.817734562173979
2011,"NoAct",2011-06-25,"Low",2011-07-02,0.000345796588896005,"New",0.9,FALSE,0.818465088951355
2012,"1",2012-06-14,"Median",2012-06-21,0.0332053584551859,"New",0.9,FALSE,0.89376244818331
